"distribution";"density_fun";"dist_density";"no_of_parameters";"default_location";"default_scale";"default_skewness";"default_kurtosis";"default_binomial_denominator";"discrete_flag";"dist_type";"location_lower_condition";"location_upper_condition";"scale_lower_condition";"scale_upper_condition";"skewness_lower_condition";"skewness_upper_condition";"kurtosis_lower_condition";"kurtosis_upper_condition";"x_lower_condition";"x_upper_condition";"fun_call";"location_lower_bound";"location_upper_bound";"scale_lower_bound";"scale_upper_bound";"skewness_lower_bound";"skewness_upper_bound";"kurtosis_lower_bound";"kurtosis_upper_bound";"x_lower_bound";"x_upper_bound"
"Inverse Gaussian";"dIG";"Inverse Gaussian - dIG";2;1;1;NA;NA;NA;0;"continuous";"<0";NA;"<0";NA;NA;NA;NA;NA;"<0";NA;NA;0;NA;0;NA;NA;NA;NA;NA;"0";NA
"Inverse Gamma";"dIGAMMA";"Inverse Gamma - dIGAMMA";2;1;0.5;NA;NA;NA;0;"continuous";"<0";NA;"<=0";NA;NA;NA;NA;NA;"<0";NA;NA;0;NA;1e-10;NA;NA;NA;NA;NA;"0";NA
"Johnson's SU";"dJSU";"Johnson's SU - dJSU";4;0;1;1;0.5;NA;0;"continuous";NA;NA;"<0";NA;NA;NA;"<0";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;"0";NA;NA;NA
"Johnson's SU";"dJSUo";"Johnson's SU - dJSUo";4;0;1;0;1;NA;0;"continuous";NA;NA;"<0";NA;NA;NA;"<0";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;"0";NA;NA;NA
"Logarithmic";"dLG";"Logarithmic - dLG";1;0.5;NA;NA;NA;NA;1;"discrete";"<=0";">=1";NA;NA;NA;NA;NA;NA;"<=0";NA;NA;1e-10;0.9999999;NA;NA;NA;NA;NA;NA;"1e-10";NA
"log-Normal (Box-Cox)";"dLNO";"log-Normal (Box-Cox) - dLNO";3;1;0.1;0;NA;NA;0;"continuous";"0";NA;"<=0";NA;"0";"0";NA;NA;"<0";NA;NA;0;NA;1e-10;NA;0;0;NA;NA;"0";NA
"Logistic";"dLO";"Logistic - dLO";2;0;1;NA;NA;NA;0;"continuous";NA;NA;"<=0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1e-10;NA;NA;NA;NA;NA;NA;NA
"Logit Normal";"dLOGITNO";"Logit Normal - dLOGITNO";2;0.5;1;NA;NA;NA;0;"continuous";"<0";">1";"<=0";NA;NA;NA;NA;NA;NA;NA;NA;0;1;1e-10;NA;NA;NA;NA;NA;NA;NA
"log-Normal";"dLOGNO";"log-Normal - dLOGNO";2;0;1;NA;NA;NA;0;"continuous";NA;NA;"<=0";NA;NA;NA;NA;NA;"<0";NA;NA;NA;NA;1e-10;NA;NA;NA;NA;NA;"0";NA
"log-Normal";"dLOGNO2";"log-Normal - dLOGNO2";2;1;1;NA;NA;NA;0;"continuous";"<=0";NA;"<=0";NA;NA;NA;NA;NA;NA;NA;NA;1e-10;NA;1e-10;NA;NA;NA;NA;NA;NA;NA
"Normal Linear Quadratic";"dLQNO";"Normal Linear Quadratic - dLQNO";2;1;1;NA;NA;NA;0;"continuous";"<=0";NA;"<=0";NA;NA;NA;NA;NA;NA;NA;NA;1e-10;NA;1e-10;NA;NA;NA;NA;NA;NA;NA
"Multinomial";"dMN3";"Multinomial - dMN3";2;1;1;NA;NA;NA;1;"discrete";"<=0";NA;"<=0";NA;NA;NA;NA;NA;"<1";">3";NA;1e-10;NA;1e-10;NA;NA;NA;NA;NA;"1";3
"Multinomial";"dMN4";"Multinomial - dMN4";3;1;1;1;NA;NA;1;"discrete";"<=0";NA;"<=0";NA;"<=0";NA;NA;NA;"<1";">5";NA;1e-10;NA;1e-10;NA;1e-10;NA;NA;NA;"1";5
"Multinomial";"dMN5";"Multinomial - dMN5";4;1;1;1;1;NA;1;"discrete";"<=0";NA;"<=0";NA;"<=0";NA;"<=0";NA;"<1";">5";NA;1e-10;NA;1e-10;NA;1e-10;NA;"1e-10";NA;"1";5
